ANCH;3×;0.96%;" "
ACHA;3×;0.96%;" "
NCHO;3×;0.96%;" "
LOPT;2×;0.64%;" "
OGAL;2×;0.64%;" "
STOR;2×;0.64%;" "
ARON;2×;0.64%;" "
DROM;2×;0.64%;" "
PHLI;2×;0.64%;" "
ALAP;2×;0.64%;" "
ZVBO;2×;0.64%;" "
OCHA;2×;0.64%;" "
ANPA;2×;0.64%;" "
NCHA;2×;0.64%;" "
BONG;2×;0.64%;" "
OPHI;2×;0.64%;" "
ANLE;2×;0.64%;" "
GENP;2×;0.64%;" "
RONP;2×;0.64%;" "
DAXN;2×;0.64%;" "
APHA;2×;0.64%;" "
BAPP;1×;0.32%;" "
ORGE;1×;0.32%;" "
LBVR;1×;0.32%;" "
IOLD;1×;0.32%;" "
EPNA;1×;0.32%;" "
YMAN;1×;0.32%;" "
ZCHE;1×;0.32%;" "
RONA;1×;0.32%;" "
BACH;1×;0.32%;" "
ANOR;1×;0.32%;" "
VOGA;1×;0.32%;" "
LDPA;1×;0.32%;" "
XLAR;1×;0.32%;" "
GEPT;1×;0.32%;" "
AARC;1×;0.32%;" "
AZIL;1×;0.32%;" "
DOCO;1×;0.32%;" "
RNEP;1×;0.32%;" "
AXOD;1×;0.32%;" "
OVAR;1×;0.32%;" "
GENA;1×;0.32%;" "
DARC;1×;0.32%;" "
HLAX;1×;0.32%;" "
ORPH;1×;0.32%;" "
ICHA;1×;0.32%;" "
HIBL;1×;0.32%;" "
ONAV;1×;0.32%;" "
AROX;1×;0.32%;" "
VTAL;1×;0.32%;" "
PVAX;1×;0.32%;" "
PADE;1×;0.32%;" "
MAPH;1×;0.32%;" "
ELLI;1×;0.32%;" "
CHNO;1×;0.32%;" "
NGAL;1×;0.32%;" "
POLO;1×;0.32%;" "
XDAD;1×;0.32%;" "
RANO;1×;0.32%;" "
XAPO;1×;0.32%;" "
LGET;1×;0.32%;" "
HOXL;1×;0.32%;" "
IBAN;1×;0.32%;" "
CHGA;1×;0.32%;" "
PHIR;1×;0.32%;" "
T/GA;1×;0.32%;" "
PSIR;1×;0.32%;" "
TNAL;1×;0.32%;" "
BODO;1×;0.32%;" "
GRAX;1×;0.32%;" "
VXFR;1×;0.32%;" "
ALDE;1×;0.32%;" "
HOXA;1×;0.32%;" "
MACH;1×;0.32%;" "
ERDA;1×;0.32%;" "
BANO;1×;0.32%;" "
XZIR;1×;0.32%;" "
NAMP;1×;0.32%;" "
HALG;1×;0.32%;" "
EDPH;1×;0.32%;" "
IODA;1×;0.32%;" "
PNIZ;1×;0.32%;" "
MAVA;1×;0.32%;" "
HVPA;1×;0.32%;" "
LBDE;1×;0.32%;" "
VEXO;1×;0.32%;" "
RNIP;1×;0.32%;" "
AGRA;1×;0.32%;" "
RDZA;1×;0.32%;" "
BNLA;1×;0.32%;" "
RDEX;1×;0.32%;" "
MARR;1×;0.32%;" "
NSAC;1×;0.32%;" "
HLEP;1×;0.32%;" "
OTHZ;1×;0.32%;" "
ICLA;1×;0.32%;" "
RDIX;1×;0.32%;" "
NACH;1×;0.32%;" "
PZIR;1×;0.32%;" "
BILB;1×;0.32%;" "
ALAZ;1×;0.32%;" "
VCHA;1×;0.32%;" "
LERD;1×;0.32%;" "
RONV;1×;0.32%;" "
ADPI;1×;0.32%;" "
RVAR;1×;0.32%;" "
ANZA;1×;0.32%;" "
LPHI;1×;0.32%;" "
OXNA;1×;0.32%;" "
VIND;1×;0.32%;" "
AMPH;1×;0.32%;" "
GELA;1×;0.32%;" "
XRON;1×;0.32%;" "
GVAX;1×;0.32%;" "
NOLP;1×;0.32%;" "
ACHO;1×;0.32%;" "
RDAX;1×;0.32%;" "
DEHO;1×;0.32%;" "
RGAX;1×;0.32%;" "
ONAP;1×;0.32%;" "
HOND;1×;0.32%;" "
ELPO;1×;0.32%;" "
NGAR;1×;0.32%;" "
ZANE;1×;0.32%;" "
MRAB;1×;0.32%;" "
AXAL;1×;0.32%;" "
RELD;1×;0.32%;" "
ORCH;1×;0.32%;" "
OTHD;1×;0.32%;" "
EGAN;1×;0.32%;" "
PHAA;1×;0.32%;" "
XOLA;1×;0.32%;" "
RVAX;1×;0.32%;" "
CHAL;1×;0.32%;" "
MANZ;1×;0.32%;" "
ZVRB;1×;0.32%;" "
ANCO;1×;0.32%;" "
DRAX;1×;0.32%;" "
DGER;1×;0.32%;" "
PHVB;1×;0.32%;" "
ARRO;1×;0.32%;" "
LPOP;1×;0.32%;" "
NATO;1×;0.32%;" "
VARZ;1×;0.32%;" "
IDCO;1×;0.32%;" "
XLET;1×;0.32%;" "
HCON;1×;0.32%;" "
GNAX;1×;0.32%;" "
ALPV;1×;0.32%;" "
IXOR;1×;0.32%;" "
MARD;1×;0.32%;" "
EXPO;1×;0.32%;" "
AGEH;1×;0.32%;" "
VNAD;1×;0.32%;" "
RONC;1×;0.32%;" "
HIPL;1×;0.32%;" "
AXDE;1×;0.32%;" "
HOXN;1×;0.32%;" "
ARVA;1×;0.32%;" "
HALC;1×;0.32%;" "
HIOD;1×;0.32%;" "
ARBA;1×;0.32%;" "
LGPR;1×;0.32%;" "
GNEL;1×;0.32%;" "
OLPO;1×;0.32%;" "
DOGR;1×;0.32%;" "
APAG;1×;0.32%;" "
AMVI;1×;0.32%;" "
XNOR;1×;0.32%;" "
GLEX;1×;0.32%;" "
OPVO;1×;0.32%;" "
LZIR;1×;0.32%;" "
CLAM;1×;0.32%;" "
PHLE;1×;0.32%;" "
THGE;1×;0.32%;" "
THNA;1×;0.32%;" "
RVAN;1×;0.32%;" "
HVNA;1×;0.32%;" "
BRAD;1×;0.32%;" "
CHAR;1×;0.32%;" "
NOPH;1×;0.32%;" "
RALO;1×;0.32%;" "
XORG;1×;0.32%;" "
AXOR;1×;0.32%;" "
NAPT;1×;0.32%;" "
ZILP;1×;0.32%;" "
HANO;1×;0.32%;" "
LADN;1×;0.32%;" "
APDV;1×;0.32%;" "
CORE;1×;0.32%;" "
NVAN;1×;0.32%;" "
AVIR;1×;0.32%;" "
AXMA;1×;0.32%;" "
CHVD;1×;0.32%;" "
RAHZ;1×;0.32%;" "
VRAP;1×;0.32%;" "
HAMA;1×;0.32%;" "
LDAR;1×;0.32%;" "
CONA;1×;0.32%;" "
LPHA;1×;0.32%;" "
LAPH;1×;0.32%;" "
ICOR;1×;0.32%;" "
NOTH;1×;0.32%;" "
ZIRO;1×;0.32%;" "
GRAN;1×;0.32%;" "
OLDA;1×;0.32%;" "
XLON;1×;0.32%;" "
CHCH;1×;0.32%;" "
ARMA;1×;0.32%;" "
RZIR;1×;0.32%;" "
HCAL;1×;0.32%;" "
CHAD;1×;0.32%;" "
ORNA;1×;0.32%;" "
PART;1×;0.32%;" "
AXON;1×;0.32%;" "
ARPH;1×;0.32%;" "
THOR;1×;0.32%;" "
REMA;1×;0.32%;" "
GOXZ;1×;0.32%;" "
IDRA;1×;0.32%;" "
MPTO;1×;0.32%;" "
TAXL;1×;0.32%;" "
ARVX;1×;0.32%;" "
TDEM;1×;0.32%;" "
NAGE;1×;0.32%;" "
LARD;1×;0.32%;" "
RANC;1×;0.32%;" "
LAXZ;1×;0.32%;" "
IRBA;1×;0.32%;" "
XORM;1×;0.32%;" "
ARGA;1×;0.32%;" "
XOLE;1×;0.32%;" "
GODO;1×;0.32%;" "
NPHZ;1×;0.32%;" "
IRNO;1×;0.32%;" "
POLG;1×;0.32%;" "
EARB;1×;0.32%;" "
ANAP;1×;0.32%;" "
HAXL;1×;0.32%;" "
AGED;1×;0.32%;" "
VARN;1×;0.32%;" "
ALCH;1×;0.32%;" "
IRAP;1×;0.32%;" "
HANG;1×;0.32%;" "
ABAL;1×;0.32%;" "
CORN;1×;0.32%;" "
APVI;1×;0.32%;" "
XOLL;1×;0.32%;" "
APNR;1×;0.32%;" "
PZID;1×;0.32%;" "
AALP;1×;0.32%;" "
ARGD;1×;0.32%;" "
EVAN;1×;0.32%;" "
ONYN;1×;0.32%;" "
POLL;1×;0.32%;" "
APRO;1×;0.32%;" "
NTAR;1×;0.32%;" "
DROH;1×;0.32%;" "
AXOM;1×;0.32%;" "
ACLO;1×;0.32%;" "
NZIC;1×;0.32%;" "
HZIR;1×;0.32%;" "
NOXY;1×;0.32%;" "
ALBO;1×;0.32%;" "
HANE;1×;0.32%;" "
RVOL;1×;0.32%;" "
TZIC;1×;0.32%;" "
HLOX;1×;0.32%;" "
ARMO;1×;0.32%;" "
NPON;1×;0.32%;" "
TGET;1×;0.32%;" "
HLAR;1×;0.32%;" "
DVDA;1×;0.32%;" "
GACH;1×;0.32%;" "
IROV;1×;0.32%;" "
LAXC;1×;0.32%;" "
OHVR;1×;0.32%;" "
NORZ;1×;0.32%;" "
YDOR;1×;0.32%;" "
NODA;1×;0.32%;" "
MPHC;1×;0.32%;" "
HELA;1×;0.32%;" "
XCLA;1×;0.32%;" "
RZAP;1×;0.32%;" "
THNE;1×;0.32%;" "
RVAC;1×;0.32%;" "
ALEX;1×;0.32%;" "
ORDA;1×;0.32%;" "
