AR;38×;3.01%;" 
 "
CH;37×;2.93%;" 
 "
AN;33×;2.61%;" 
 "
AX;31×;2.46%;" 
 "
PH;31×;2.46%;" 
 "
HA;28×;2.22%;" 
 "
AL;28×;2.22%;" 
 "
ON;26×;2.06%;" 
 "
LA;26×;2.06%;" 
 "
RA;26×;2.06%;" 
 "
OR;25×;1.98%;" 
 "
NA;25×;1.98%;" 
 "
AP;21×;1.66%;" 
 "
ZI;17×;1.35%;" 
 "
RO;17×;1.35%;" 
 "
XO;16×;1.27%;" 
 "
VA;16×;1.27%;" 
 "
OL;16×;1.27%;" 
 "
NO;15×;1.19%;" 
 "
GA;15×;1.19%;" 
 "
MA;14×;1.11%;" 
 "
OX;14×;1.11%;" 
 "
DA;14×;1.11%;" 
 "
GE;14×;1.11%;" 
 "
IR;14×;1.11%;" 
 "
NC;13×;1.03%;" 
 "
HO;13×;1.03%;" 
 "
NP;13×;1.03%;" 
 "
AC;12×;0.95%;" 
 "
HI;12×;0.95%;" 
 "
RN;12×;0.95%;" 
 "
RD;12×;0.95%;" 
 "
PO;11×;0.87%;" 
 "
LP;11×;0.87%;" 
 "
DR;11×;0.87%;" 
 "
TH;11×;0.87%;" 
 "
BA;11×;0.87%;" 
 "
DE;11×;0.87%;" 
 "
PA;11×;0.87%;" 
 "
DO;10×;0.79%;" 
 "
AD;10×;0.79%;" 
 "
AG;10×;0.79%;" 
 "
LE;10×;0.79%;" 
 "
AM;10×;0.79%;" 
 "
CO;9×;0.71%;" 
 "
RV;8×;0.63%;" 
 "
RG;8×;0.63%;" 
 "
TA;8×;0.63%;" 
 "
OP;8×;0.63%;" 
 "
IC;8×;0.63%;" 
 "
MP;8×;0.63%;" 
 "
HL;8×;0.63%;" 
 "
LO;8×;0.63%;" 
 "
OD;8×;0.63%;" 
 "
LD;7×;0.55%;" 
 "
XA;7×;0.55%;" 
 "
OT;7×;0.55%;" 
 "
EL;7×;0.55%;" 
 "
NG;7×;0.55%;" 
 "
XL;7×;0.55%;" 
 "
ET;7×;0.55%;" 
 "
PT;7×;0.55%;" 
 "
XN;7×;0.55%;" 
 "
ER;6×;0.48%;" 
 "
AB;6×;0.48%;" 
 "
OG;6×;0.48%;" 
 "
CL;6×;0.48%;" 
 "
BO;6×;0.48%;" 
 "
HV;6×;0.48%;" 
 "
HZ;6×;0.48%;" 
 "
NE;5×;0.4%;" 
 "
TO;5×;0.4%;" 
 "
EM;5×;0.4%;" 
 "
AA;5×;0.4%;" 
 "
ZV;5×;0.4%;" 
 "
GR;5×;0.4%;" 
 "
LB;5×;0.4%;" 
 "
ZA;5×;0.4%;" 
 "
EX;5×;0.4%;" 
 "
VI;5×;0.4%;" 
 "
RB;5×;0.4%;" 
 "
RZ;5×;0.4%;" 
 "
RC;5×;0.4%;" 
 "
NZ;4×;0.32%;" 
 "
EN;4×;0.32%;" 
 "
HE;4×;0.32%;" 
 "
LI;4×;0.32%;" 
 "
IP;4×;0.32%;" 
 "
PZ;4×;0.32%;" 
 "
XZ;4×;0.32%;" 
 "
LG;4×;0.32%;" 
 "
IX;4×;0.32%;" 
 "
RE;4×;0.32%;" 
 "
ID;4×;0.32%;" 
 "
HC;4×;0.32%;" 
 "
PV;4×;0.32%;" 
 "
EH;4×;0.32%;" 
 "
LC;4×;0.32%;" 
 "
AV;4×;0.32%;" 
 "
RM;4×;0.32%;" 
 "
DP;3×;0.24%;" 
 "
EP;3×;0.24%;" 
 "
OC;3×;0.24%;" 
 "
RP;3×;0.24%;" 
 "
XV;3×;0.24%;" 
 "
LL;3×;0.24%;" 
 "
HN;3×;0.24%;" 
 "
HG;3×;0.24%;" 
 "
VB;3×;0.24%;" 
 "
OM;3×;0.24%;" 
 "
ED;3×;0.24%;" 
 "
IO;3×;0.24%;" 
 "
PN;3×;0.24%;" 
 "
ND;3×;0.24%;" 
 "
VO;3×;0.24%;" 
 "
DV;3×;0.24%;" 
 "
VR;3×;0.24%;" 
 "
GO;3×;0.24%;" 
 "
IL;3×;0.24%;" 
 "
OV;3×;0.24%;" 
 "
XD;3×;0.24%;" 
 "
NL;3×;0.24%;" 
 "
AS;2×;0.16%;" 
 "
IB;2×;0.16%;" 
 "
VX;2×;0.16%;" 
 "
RR;2×;0.16%;" 
 "
AZ;2×;0.16%;" 
 "
VC;2×;0.16%;" 
 "
NV;2×;0.16%;" 
 "
EG;2×;0.16%;" 
 "
GN;2×;0.16%;" 
 "
VN;2×;0.16%;" 
 "
