RAPHA;4
ANCHO;3
AXLAR;3
PHICH;3
RGAXO;3
ORNAP;3
RACHA;3
HICHA;3
IRAPH;3
RANPA;3
OGALD;2
HASTO;2
ARONP;2
ADROM;2
PHLIP;2
HAALA;2
PZVBO;2
OMPHL;2
ACHAA;2
LAPZV;2
DEHOX;2
NZANC;2
CHORD;2
AXDEH;2
ORGAX;2
OPHIC;2
NARVA;2
GENPH;2
CHAST;2
DOGRA;2
NCHOL;2
OTHZI;2
MANCH;2
ETHOR;2
ANPAR;2
EMAGO;2
XZIDR;2
AMPTO;2
TAXLA;2
OLLAP;2
ONGAL;2
ASTOR;2
DROMP;2
IRACH;2
AALAP;2
ZVBOT;2
GADRO;2
MPHLI;2
CHAAL;2
APZVB;2
ARDEX;2
ZANCH;2
XDEHO;2
PHIOD;2
PHANO;2
ANCHA;2
THORA;2
NPARE;2
MAGOX;2
ZIDRA;2
MPTOT;2
POLGE;2
APHAN;2
PVIXO;2
ROMPH;2
ALAPZ;2
ODOGR;2
XNAVI;2
ORDAX;2
XORMA;2
HIODA;2
DAXNA;2
ZIRAP;2
HORAN;2
PAREM;2
AGOXZ;2
IDRAM;2
PTOTA;2
RONPH;2
CHLAX;2
DAMPH;2
AXONA;2
ORMAR;2
LOPTA;2
AGENP;2
ORANP;2
AREMA;2
GOXZI;2
DRAMP;2
TOTAX;2
ANZAN;2
LETHO;2
REMAG;2
OXZID;2
RAMPT;2
OTAXL;2
MANZC;1
HERON;1
ABACH;1
ANORV;1
PAXLA;1
RGEPT;1
AARCL;1
OPTAZ;1
ILDOC;1
ORNEP;1
OGALA;1
XODOV;1
ARGEN;1
ADARC;1
HLAXO;1
RPHIC;1
RHIBL;1
NAVAR;1
OXVTA;1
LPVAX;1
ADEMA;1
PHELL;1
ICHNO;1
NGALP;1
OLOXD;1
ADRAN;1
OXAPO;1
LGETH;1
OXLIB;1
ANCHG;1
HIRAC;1
TGADR;1
IPSIR;1
BOTNA;1
LBODO;1
GRAXV;1
XFRAL;1
AMACH;1
ERDAB;1
ANOXZ;1
IRNAM;1
PHALG;1
EDPHI;1
ODAPN;1
IZOCH;1
AMAVA;1
HVPAL;1
BDEVE;1
XORNI;1
PAGRA;1
NCHOR;1
DZABN;1
LARDE;1
XMARR;1
ANPAN;1
SACHL;1
EPOTH;1
ZICLA;1
RDIXN;1
ACHAR;1
ONPZI;1
RBILB;1
ALAZV;1
CHALE;1
RDRON;1
VADPI;1
RVARA;1
HALPH;1
IOXNA;1
VINDA;1
MPHGE;1
LAXRO;1
NGVAX;1
NOLPA;1
ONAPH;1
ONDEL;1
PONGA;1
RZANE;1
MRABA;1
XALBO;1
NGREL;1
DORCH;1
OTHDE;1
GANPH;1
AAXOL;1
ARVAX;1
HALMA;1
HZVRB;1
ANCOD;1
RAXAN;1
LEDGE;1
RPHVB;1
ARROL;1
POPNA;1
TOVAR;1
ZIDCO;1
XLETH;1
CONGN;1
AXALP;1
VIXOR;1
MARDE;1
XPOLO;1
PTAGE;1
