RAPHA,4×,0.32%,
ANCHO,3×,0.24%,
AXLAR,3×,0.24%,
PHICH,3×,0.24%,
RGAXO,3×,0.24%,
ORNAP,3×,0.24%,
RACHA,3×,0.24%,
HICHA,3×,0.24%,
IRAPH,3×,0.24%,
RANPA,3×,0.24%,
OGALD,2×,0.16%,
HASTO,2×,0.16%,
ARONP,2×,0.16%,
ADROM,2×,0.16%,
PHLIP,2×,0.16%,
HAALA,2×,0.16%,
PZVBO,2×,0.16%,
OMPHL,2×,0.16%,
ACHAA,2×,0.16%,
LAPZV,2×,0.16%,
DEHOX,2×,0.16%,
NZANC,2×,0.16%,
CHORD,2×,0.16%,
AXDEH,2×,0.16%,
ORGAX,2×,0.16%,
OPHIC,2×,0.16%,
NARVA,2×,0.16%,
GENPH,2×,0.16%,
CHAST,2×,0.16%,
DOGRA,2×,0.16%,
NCHOL,2×,0.16%,
OTHZI,2×,0.16%,
MANCH,2×,0.16%,
ETHOR,2×,0.16%,
ANPAR,2×,0.16%,
EMAGO,2×,0.16%,
XZIDR,2×,0.16%,
AMPTO,2×,0.16%,
TAXLA,2×,0.16%,
OLLAP,2×,0.16%,
ONGAL,2×,0.16%,
ASTOR,2×,0.16%,
DROMP,2×,0.16%,
IRACH,2×,0.16%,
AALAP,2×,0.16%,
ZVBOT,2×,0.16%,
GADRO,2×,0.16%,
MPHLI,2×,0.16%,
CHAAL,2×,0.16%,
APZVB,2×,0.16%,
ARDEX,2×,0.16%,
ZANCH,2×,0.16%,
XDEHO,2×,0.16%,
PHIOD,2×,0.16%,
PHANO,2×,0.16%,
ANCHA,2×,0.16%,
THORA,2×,0.16%,
NPARE,2×,0.16%,
MAGOX,2×,0.16%,
ZIDRA,2×,0.16%,
MPTOT,2×,0.16%,
POLGE,2×,0.16%,
APHAN,2×,0.16%,
PVIXO,2×,0.16%,
ROMPH,2×,0.16%,
ALAPZ,2×,0.16%,
ODOGR,2×,0.16%,
XNAVI,2×,0.16%,
ORDAX,2×,0.16%,
XORMA,2×,0.16%,
HIODA,2×,0.16%,
DAXNA,2×,0.16%,
ZIRAP,2×,0.16%,
HORAN,2×,0.16%,
PAREM,2×,0.16%,
AGOXZ,2×,0.16%,
IDRAM,2×,0.16%,
PTOTA,2×,0.16%,
RONPH,2×,0.16%,
CHLAX,2×,0.16%,
DAMPH,2×,0.16%,
AXONA,2×,0.16%,
ORMAR,2×,0.16%,
LOPTA,2×,0.16%,
AGENP,2×,0.16%,
ORANP,2×,0.16%,
AREMA,2×,0.16%,
GOXZI,2×,0.16%,
DRAMP,2×,0.16%,
TOTAX,2×,0.16%,
ANZAN,2×,0.16%,
LETHO,2×,0.16%,
REMAG,2×,0.16%,
OXZID,2×,0.16%,
RAMPT,2×,0.16%,
OTAXL,2×,0.16%,
MANZC,1×,0.08%,
HERON,1×,0.08%,
ABACH,1×,0.08%,
ANORV,1×,0.08%,
PAXLA,1×,0.08%,
RGEPT,1×,0.08%,
AARCL,1×,0.08%,
OPTAZ,1×,0.08%,
ILDOC,1×,0.08%,
ORNEP,1×,0.08%,
OGALA,1×,0.08%,
XODOV,1×,0.08%,
ARGEN,1×,0.08%,
ADARC,1×,0.08%,
HLAXO,1×,0.08%,
RPHIC,1×,0.08%,
RHIBL,1×,0.08%,
NAVAR,1×,0.08%,
OXVTA,1×,0.08%,
LPVAX,1×,0.08%,
ADEMA,1×,0.08%,
PHELL,1×,0.08%,
ICHNO,1×,0.08%,
NGALP,1×,0.08%,
OLOXD,1×,0.08%,
ADRAN,1×,0.08%,
OXAPO,1×,0.08%,
LGETH,1×,0.08%,
OXLIB,1×,0.08%,
ANCHG,1×,0.08%,
HIRAC,1×,0.08%,
TGADR,1×,0.08%,
IPSIR,1×,0.08%,
BOTNA,1×,0.08%,
LBODO,1×,0.08%,
GRAXV,1×,0.08%,
XFRAL,1×,0.08%,
AMACH,1×,0.08%,
ERDAB,1×,0.08%,
ANOXZ,1×,0.08%,
IRNAM,1×,0.08%,
PHALG,1×,0.08%,
EDPHI,1×,0.08%,
ODAPN,1×,0.08%,
IZOCH,1×,0.08%,
AMAVA,1×,0.08%,
HVPAL,1×,0.08%,
BDEVE,1×,0.08%,
XORNI,1×,0.08%,
PAGRA,1×,0.08%,
NCHOR,1×,0.08%,
DZABN,1×,0.08%,
LARDE,1×,0.08%,
XMARR,1×,0.08%,
ANPAN,1×,0.08%,
SACHL,1×,0.08%,
EPOTH,1×,0.08%,
ZICLA,1×,0.08%,
RDIXN,1×,0.08%,
ACHAR,1×,0.08%,
ONPZI,1×,0.08%,
RBILB,1×,0.08%,
ALAZV,1×,0.08%,
CHALE,1×,0.08%,
RDRON,1×,0.08%,
VADPI,1×,0.08%,
RVARA,1×,0.08%,
HALPH,1×,0.08%,
IOXNA,1×,0.08%,
VINDA,1×,0.08%,
MPHGE,1×,0.08%,
LAXRO,1×,0.08%,
NGVAX,1×,0.08%,
NOLPA,1×,0.08%,
ONAPH,1×,0.08%,
ONDEL,1×,0.08%,
PONGA,1×,0.08%,
RZANE,1×,0.08%,
MRABA,1×,0.08%,
XALBO,1×,0.08%,
NGREL,1×,0.08%,
DORCH,1×,0.08%,
OTHDE,1×,0.08%,
GANPH,1×,0.08%,
AAXOL,1×,0.08%,
ARVAX,1×,0.08%,
HALMA,1×,0.08%,
HZVRB,1×,0.08%,
ANCOD,1×,0.08%,
RAXAN,1×,0.08%,
LEDGE,1×,0.08%,
RPHVB,1×,0.08%,
ARROL,1×,0.08%,
POPNA,1×,0.08%,
TOVAR,1×,0.08%,
ZIDCO,1×,0.08%,
XLETH,1×,0.08%,
CONGN,1×,0.08%,
AXALP,1×,0.08%,
VIXOR,1×,0.08%,
MARDE,1×,0.08%,
XPOLO,1×,0.08%,
PTAGE,1×,0.08%,
HVNAD,1×,0.08%,
RONCH,1×,0.08%,
IPLAX,1×,0.08%,
ALCRO,1×,0.08%,
NPHIO,1×,0.08%,
DARBA,1×,0.08%,
LGPRO,1×,0.08%,
ORGNE,1×,0.08%,
LOLPO,1×,0.08%,
PAGAM,1×,0.08%,
VIXNO,1×,0.08%,
RGLEX,1×,0.08%,
OPVON,1×,0.08%,
CHOLZ,1×,0.08%,
IRCLA,1×,0.08%,
MPHLE,1×,0.08%,
THGET,1×,0.08%,
HNARV,1×,0.08%,
ANHVN,1×,0.08%,
ABRAD,1×,0.08%,
HARNO,1×,0.08%,
PHRAL,1×,0.08%,
OXORG,1×,0.08%,
AXORN,1×,0.08%,
APTZI,1×,0.08%,
LPHAN,1×,0.08%,
OLADN,1×,0.08%,
APDVC,1×,0.08%,
ORENV,1×,0.08%,
ANDAX,1×,0.08%,
NAVIR,1×,0.08%,
AXMAC,1×,0.08%,
HVDRA,1×,0.08%,
HZVRA,1×,0.08%,
PHAMA,1×,0.08%,
DARCO,1×,0.08%,
NALPH,1×,0.08%,
ALAPH,1×,0.08%,
ICORN,1×,0.08%,
ROGRA,1×,0.08%,
NOLDA,1×,0.08%,
XLONC,1×,0.08%,
HCHAR,1×,0.08%,
ARZIR,1×,0.08%,
APHAG,1×,0.08%,
ENPHC,1×,0.08%,
ALCHA,1×,0.08%,
DORNA,1×,0.08%,
PARTA,1×,0.08%,
XONAR,1×,0.08%,
PHANL,1×,0.08%,
RVXTL,1×,0.08%,
RDXTD,1×,0.08%,
EMNAG,1×,0.08%,
ELARD,1×,0.08%,
RANCL,1×,0.08%,
AXZIR,1×,0.08%,
BAXOR,1×,0.08%,
MARGA,1×,0.08%,
XOLEG,1×,0.08%,
ODONP,1×,0.08%,
HZIRN,1×,0.08%,
OPOLG,1×,0.08%,
EARBA,1×,0.08%,
NAPHA,1×,0.08%,
XLAGE,1×,0.08%,
DVARN,1×,0.08%,
ALCHI,1×,0.08%,
NGABA,1×,0.08%,
LCORN,1×,0.08%,
APVIX,1×,0.08%,
NRACH,1×,0.08%,
APZID,1×,0.08%,
AXNAA,1×,0.08%,
LPARG,1×,0.08%,
DEVAN,1×,0.08%,
ONYNP,1×,0.08%,
RONTA,1×,0.08%,
RDROH,1×,0.08%,
AXOMA,1×,0.08%,
CLONZ,1×,0.08%,
ICHZI,1×,0.08%,
NOXYB,1×,0.08%,
BORON,1×,0.08%,
PHANE,1×,0.08%,
RVOLT,1×,0.08%,
ZICHL,1×,0.08%,
OXARM,1×,0.08%,
ONPON,1×,0.08%,
TGETH,1×,0.08%,
LARDV,1×,0.08%,
DAGAC,1×,0.08%,
HIROV,1×,0.08%,
ANCHL,1×,0.08%,
AXCOH,1×,0.08%,
VRNOR,1×,0.08%,
ZYDOR,1×,0.08%,
NODAM,1×,0.08%,
PHCHE,1×,0.08%,
LAXCL,1×,0.08%,
ARZAP,1×,0.08%,
THNER,1×,0.08%,
VACAL,1×,0.08%,
EXORD,1×,0.08%,
ANZCH,1×,0.08%,
ERONA,1×,0.08%,
BACHA,1×,0.08%,
NORVO,1×,0.08%,
GALDP,1×,0.08%,
GEPTA,1×,0.08%,
ARCLO,1×,0.08%,
PTAZI,1×,0.08%,
LDOCO,1×,0.08%,
RNEPO,1×,0.08%,
GALAX,1×,0.08%,
ODOVA,1×,0.08%,
RGENA,1×,0.08%,
DARCH,1×,0.08%,
LAXOR,1×,0.08%,
HIBLA,1×,0.08%,
NCHON,1×,0.08%,
AVARO,1×,0.08%,
XVTAL,1×,0.08%,
PVAXA,1×,0.08%,
RONPA,1×,0.08%,
DEMAP,1×,0.08%,
HELLI,1×,0.08%,
CHNON,1×,0.08%,
GALPO,1×,0.08%,
LOXDA,1×,0.08%,
DRANO,1×,0.08%,
XAPOL,1×,0.08%,
GETHO,1×,0.08%,
XLIBA,1×,0.08%,
NCHGA,1×,0.08%,
HLIPH,1×,0.08%,
PSIRA,1×,0.08%,
