CHA;5×;1.2%;" "
ACH;4×;0.96%;" "
XOR;4×;0.96%;" "
PHI;4×;0.96%;" "
RAN;4×;0.96%;" "
ALB;4×;0.96%;" "
APH;4×;0.96%;" "
VAN;4×;0.96%;" "
RNO;4×;0.96%;" "
MAN;3×;0.72%;" "
ONP;3×;0.72%;" "
POL;3×;0.72%;" "
ANC;3×;0.72%;" "
AMP;3×;0.72%;" "
HAL;3×;0.72%;" "
CHO;3×;0.72%;" "
MAR;3×;0.72%;" "
ONG;3×;0.72%;" "
ARZ;3×;0.72%;" "
NPH;3×;0.72%;" "
ETH;3×;0.72%;" "
RBA;3×;0.72%;" "
GEL;2×;0.48%;" "
ANO;2×;0.48%;" "
RVO;2×;0.48%;" "
XLA;2×;0.48%;" "
RGE;2×;0.48%;" "
ARC;2×;0.48%;" "
HLA;2×;0.48%;" "
NCH;2×;0.48%;" "
ONA;2×;0.48%;" "
LPO;2×;0.48%;" "
LOX;2×;0.48%;" "
GET;2×;0.48%;" "
HOX;2×;0.48%;" "
HIR;2×;0.48%;" "
AAL;2×;0.48%;" "
ADR;2×;0.48%;" "
LAP;2×;0.48%;" "
GRA;2×;0.48%;" "
RDA;2×;0.48%;" "
ODA;2×;0.48%;" "
HAM;2×;0.48%;" "
EXO;2×;0.48%;" "
DEX;2×;0.48%;" "
HLE;2×;0.48%;" "
HZI;2×;0.48%;" "
CLA;2×;0.48%;" "
XNA;2×;0.48%;" "
RON;2×;0.48%;" "
PZI;2×;0.48%;" "
RDR;2×;0.48%;" "
ALP;2×;0.48%;" "
ELA;2×;0.48%;" "
AXN;2×;0.48%;" "
ANE;2×;0.48%;" "
DOR;2×;0.48%;" "
RVA;2×;0.48%;" "
XOP;2×;0.48%;" "
RPH;2×;0.48%;" "
CON;2×;0.48%;" "
PVI;2×;0.48%;" "
AGE;2×;0.48%;" "
HVN;2×;0.48%;" "
ALC;2×;0.48%;" "
ADO;2×;0.48%;" "
GAX;2×;0.48%;" "
APT;2×;0.48%;" "
NOL;2×;0.48%;" "
DAX;2×;0.48%;" "
DRA;2×;0.48%;" "
RAP;2×;0.48%;" "
IRO;2×;0.48%;" "
RNA;2×;0.48%;" "
PAR;2×;0.48%;" "
XZI;2×;0.48%;" "
ICH;2×;0.48%;" "
BAP;1×;0.24%;" "
POR;1×;0.24%;" "
BVR;1×;0.24%;" "
IOL;1×;0.24%;" "
DEP;1×;0.24%;" "
NAY;1×;0.24%;" "
ZCH;1×;0.24%;" "
ERO;1×;0.24%;" "
NAB;1×;0.24%;" "
GAL;1×;0.24%;" "
DPA;1×;0.24%;" "
PTA;1×;0.24%;" "
LOP;1×;0.24%;" "
TAZ;1×;0.24%;" "
ILD;1×;0.24%;" "
OCO;1×;0.24%;" "
RNE;1×;0.24%;" "
POG;1×;0.24%;" "
ALA;1×;0.24%;" "
XOD;1×;0.24%;" "
OVA;1×;0.24%;" "
NAD;1×;0.24%;" "
STO;1×;0.24%;" "
RHI;1×;0.24%;" "
BLA;1×;0.24%;" "
VAR;1×;0.24%;" "
OXV;1×;0.24%;" "
TAL;1×;0.24%;" "
PVA;1×;0.24%;" "
XAR;1×;0.24%;" "
ADE;1×;0.24%;" "
MAP;1×;0.24%;" "
HEL;1×;0.24%;" "
LIC;1×;0.24%;" "
HNO;1×;0.24%;" "
NGA;1×;0.24%;" "
DAD;1×;0.24%;" "
OXA;1×;0.24%;" "
LIB;1×;0.24%;" "
HGA;1×;0.24%;" "
DRO;1×;0.24%;" "
MPH;1×;0.24%;" "
LIP;1×;0.24%;" "
APZ;1×;0.24%;" "
VBO;1×;0.24%;" "
T/G;1×;0.24%;" "
OMP;1×;0.24%;" "
HLI;1×;0.24%;" "
PSI;1×;0.24%;" "
RAC;1×;0.24%;" "
HAA;1×;0.24%;" "
ZVB;1×;0.24%;" "
OTN;1×;0.24%;" "
ODO;1×;0.24%;" "
XVX;1×;0.24%;" "
FRA;1×;0.24%;" "
LDE;1×;0.24%;" "
AMA;1×;0.24%;" "
CHE;1×;0.24%;" "
BAN;1×;0.24%;" "
OXZ;1×;0.24%;" "
IRN;1×;0.24%;" "
GED;1×;0.24%;" "
PNI;1×;0.24%;" "
ZOC;1×;0.24%;" "
AVA;1×;0.24%;" "
HVP;1×;0.24%;" "
DEV;1×;0.24%;" "
RNI;1×;0.24%;" "
PAG;1×;0.24%;" "
RDZ;1×;0.24%;" "
ABN;1×;0.24%;" "
LAR;1×;0.24%;" "
PAN;1×;0.24%;" "
SAC;1×;0.24%;" "
POT;1×;0.24%;" "
RDI;1×;0.24%;" "
RBI;1×;0.24%;" "
LBA;1×;0.24%;" "
LAZ;1×;0.24%;" "
VCH;1×;0.24%;" "
ALE;1×;0.24%;" "
ONV;1×;0.24%;" "
ADP;1×;0.24%;" "
IRV;1×;0.24%;" "
ARA;1×;0.24%;" "
NZA;1×;0.24%;" "
HIO;1×;0.24%;" "
VIN;1×;0.24%;" "
DAM;1×;0.24%;" "
PHG;1×;0.24%;" "
XRO;1×;0.24%;" "
NGV;1×;0.24%;" "
OLP;1×;0.24%;" "
ORD;1×;0.24%;" "
AXD;1×;0.24%;" "
EHO;1×;0.24%;" "
RGA;1×;0.24%;" "
XON;1×;0.24%;" "
OND;1×;0.24%;" "
ELP;1×;0.24%;" "
MRA;1×;0.24%;" "
BAX;1×;0.24%;" "
REL;1×;0.24%;" "
THD;1×;0.24%;" "
EGA;1×;0.24%;" "
AAX;1×;0.24%;" "
OLA;1×;0.24%;" "
HIC;1×;0.24%;" "
ZAN;1×;0.24%;" "
CHZ;1×;0.24%;" "
VRB;1×;0.24%;" "
ODR;1×;0.24%;" "
AXA;1×;0.24%;" "
NLE;1×;0.24%;" "
DGE;1×;0.24%;" "
VBA;1×;0.24%;" "
RRO;1×;0.24%;" "
PNA;1×;0.24%;" "
TOV;1×;0.24%;" "
IDC;1×;0.24%;" "
OXL;1×;0.24%;" "
GNA;1×;0.24%;" "
XAL;1×;0.24%;" "
OPT;1×;0.24%;" "
ONC;1×;0.24%;" "
HIP;1×;0.24%;" "
LAX;1×;0.24%;" "
DEH;1×;0.24%;" "
OXN;1×;0.24%;" "
ARV;1×;0.24%;" "
LGP;1×;0.24%;" "
