ICHASTORNA;10;×2;"#1107,#1194"
BLAXZIC;7;×2;"#390,#655"
ZICHOR;6;×2;"#777,#1014"
VANCHA;6;×2;"#88,#366"
PHORGA;6;×2;"#58,#244"
LZICHO;6;×2;"#1013,#1144"
ALBLAX;6;×2;"#74,#653"
ZIRCH;5;×2;"#602,#705"
ZIPAC;5;×2;"#181,#797"
VARCH;5;×2;"#109,#750"
IRVAN;5;×2;"#513,#819"
RVANP;5;×2;"#514,#621"
RAVAN;5;×2;"#236,#593"
ORGDA;5;×2;"#167,#762"
NPHZI;5;×2;"#432,#665"
NAPHI;5;×2;"#257,#270"
DRALP;5;×2;"#468,#785"
EPOTH;5;×2;"#99,#129"
GAVOR;5;×2;"#51,#315"
GENPH;5;×2;"#430,#575"
GEDNO;5;×2;"#632,#758"
LZIPA;5;×2;"#180,#381"
LEPON;5;×2;"#207,#865"
LAXOR;5;×2;"#164,#252"
ACHLE;5;×2;"#583,#950"
ARONP;5;×2;"#809,#986"
AXALP;5;×2;"#1078,#1170"
ANGAL;5;×2;"#120,#221"
ALDAR;5;×2;"#224,#967"
ALPAD;5;×2;"#787,#1172"
CORNA;5;×2;"#846,#955"
ZVCH;4;×2;"#411,#851"
VRAB;4;×2;"#445,#963"
VINP;4;×2;"#646,#1157"
VORN;4;×3;"#53,#404,#1041"
THGE;4;×2;"#354,#1036"
RANG;4;×2;"#220,#861"
RAPH;4;×2;"#115,#216"
RCHA;4;×2;"#111,#707"
RGAL;4;×2;"#47,#61"
RONT;4;×2;"#22,#567"
OCHA;4;×2;"#636,#1053"
OTHA;4;×2;"#101,#174"
OLGA;4;×2;"#94,#301"
OVAR;4;×3;"#108,#536,#807"
OPAN;4;×2;"#293,#340"
ORZI;4;×2;"#1047,#1191"
ONGA;4;×2;"#461,#947"
ONPH;4;×2;"#277,#541"
ONDA;4;×2;"#415,#1178"
ONAN;4;×2;"#662,#679"
ONTA;4;×2;"#262,#482"
OXNO;4;×2;"#290,#361"
OXAX;4;×2;"#15,#1064"
NPHA;4;×2;"#542,#577"
NDRA;4;×2;"#201,#467"
NOCH;4;×2;"#475,#635"
NORV;4;×2;"#363,#1154"
NAZV;4;×2;"#849,#1097"
NGLE;4;×2;"#863,#974"
HZIR;4;×2;"#434,#601"
HGED;4;×2;"#757,#1037"
PALG;4;×2;"#427,#813"
PANC;4;×2;"#341,#1007"
PANG;4;×2;"#10,#144"
PHDE;4;×2;"#826,#841"
PHAN;4;×2;"#440,#1082"
DAXA;4;×2;"#765,#1077"
DALA;4;×2;"#941,#1022"
DRAN;4;×2;"#202,#791"
EMNA;4;×2;"#43,#994"
GACH;4;×2;"#501,#949"
GALG;4;×2;"#48,#122"
LCOT;4;×2;"#172,#773"
AGEL;4;×3;"#508,#672,#716"
ADRA;4;×4;"#418,#784,#790,#916"
ACHA;4;×2;"#883,#1121"
ACHI;4;×2;"#502,#733"
AVAR;4;×2;"#870,#1073"
AXRO;4;×2;"#38,#676"
AXAR;4;×2;"#766,#984"
ANLE;4;×2;"#530,#802"
ANZV;4;×2;"#409,#740"
ANGL;4;×3;"#11,#249,#862"
ALZI;4;×3;"#380,#703,#1012"
ALCO;4;×2;"#171,#944"
ALPD;4;×2;"#63,#910"
ALGE;4;×2;"#104,#428"
ALGA;4;×2;"#49,#814"
CONG;4;×3;"#422,#946,#972"
COTH;4;×2;"#173,#486"
CHON;4;×2;"#413,#1147"
CHLA;4;×2;"#477,#492"
CHAN;4;×2;"#708,#1054"
CHAR;4;×4;"#112,#369,#637,#1122"
ZAC;3;×2;"#732,#1133"
ZVR;3;×3;"#742,#962,#1099"
ZID;3;×2;"#1002,#1212"
ZIL;3;×2;"#771,#1068"
ZIV;3;×2;"#347,#552"
BEL;3;×2;"#932,#1142"
BRA;3;×3;"#448,#720,#1090"
BAL;3;×2;"#702,#966"
VON;3;×2;"#554,#979"
IBB;3;×2;"#930,#1138"
ICO;3;×3;"#338,#628,#660"
ION;3;×2;"#261,#1095"
INC;3;×2;"#193,#726"
IDA;3;×2;"#940,#1060"
ILA;3;×2;"#27,#1069"
TEX;3;×2;"#267,#281"
TAL;3;×2;"#264,#610"
RMA;3;×2;"#437,#899"
RAX;3;×2;"#1091,#1164"
RAC;3;×2;"#420,#449"
RCO;3;×2;"#971,#1051"
RNO;3;×3;"#55,#474,#539"
RGE;3;×2;"#399,#590"
ROX;3;×2;"#153,#833"
ROG;3;×2;"#40,#499"
MAN;3;×2;"#900,#1129"
XNA;3;×2;"#269,#1166"
XRE;3;×2;"#688,#923"
OZA;3;×2;"#528,#896"
OPH;3;×2;"#57,#825"
ORA;3;×2;"#1018,#1027"
OGE;3;×2;"#41,#212"
ONC;3;×3;"#598,#980,#1161"
ONE;3;×2;"#555,#618"
ONZ;3;×2;"#345,#730"
NZA;3;×2;"#731,#1117"
NZI;3;×3;"#296,#346,#770"
NPA;3;×2;"#794,#812"
NPO;3;×2;"#517,#1159"
NCA;3;×2;"#838,#905"
NCR;3;×2;"#727,#1162"
NCO;3;×3;"#343,#534,#981"
NER;3;×2;"#312,#619"
NON;3;×2;"#540,#597"
NOP;3;×2;"#56,#292"
NAV;3;×2;"#869,#996"
NAR;3;×2;"#45,#1202"
HIL;3;×2;"#735,#891"
HIC;3;×2;"#504,#627"
HAL;3;×3;"#103,#579,#1011"
HOX;3;×2;"#71,#289"
PLA;3;×2;"#613,#990"
PDE;3;×2;"#65,#286"
DAC;3;×2;"#1061,#1120"
DEO;3;×3;"#186,#1176,#1214"
DEX;3;×2;"#138,#828"
DOV;3;×3;"#86,#695,#723"
DON;3;×2;"#35,#460"
EAN;3;×2;"#401,#408"
ETH;3;×3;"#357,#607,#875"
ELO;3;×2;"#933,#999"
EXO;3;×2;"#454,#805"
ERV;3;×2;"#620,#977"
GRA;3;×3;"#189,#559,#1151"
GOX;3;×2;"#125,#229"
GAD;3;×2;"#783,#1086"
GER;3;×2;"#148,#591"
GLA;3;×3;"#251,#641,#881"
LMA;3;×2;"#581,#1128"
LDO;3;×2;"#459,#526"
LEX;3;×2;"#335,#804"
LAD;3;×2;"#991,#1070"
LAC;3;×2;"#882,#1024"
LAR;3;×2;"#549,#642"
LAP;3;×3;"#141,#479,#1033"
LOP;3;×2;"#824,#934"
LOX;3;×2;"#14,#360"
AZI;3;×2;"#796,#817"
ADA;3;×2;"#1071,#1119"
ADE;3;×2;"#992,#1175"
ACO;3;×4;"#421,#485,#1025,#1062"
AVI;3;×2;"#177,#464"
ARN;3;×2;"#538,#768"
ARG;3;×4;"#46,#227,#325,#639"
ANO;3;×2;"#596,#1153"
ANV;3;×2;"#402,#1056"
ALE;3;×2;"#97,#1181"
CRA;3;×2;"#860,#1163"
CHE;3;×2;"#195,#605"
QV;2;×2;"#645,#651"
FA;2;×3;"#497,#715,#909"
BO;2;×2;"#352,#1031"
VB;2;×2;"#1058,#1089"
VE;2;×2;"#998,#1187"
VN;2;×2;"#684,#904"
VL;2;×3;"#458,#1127,#1210"
VT;2;×2;"#329,#374"
VD;2;×2;"#307,#387"
IX;2;×2;"#134,#922"
RH;2;×2;"#890,#1125"
RB;2;×2;"#319,#351"
XT;2;×2;"#830,#835"
XL;2;×2;"#140,#747"
OA;2;×2;"#983,#1216"
OH;2;×2;"#70,#756"
OD;2;×3;"#31,#34,#738"
NR;2;×2;"#215,#711"
HV;2;×3;"#328,#683,#1126"
HT;2;×2;"#280,#609"
HR;2;×2;"#152,#219"
HP;2;×2;"#9,#1104"
PR;2;×2;"#378,#566"
PI;2;×3;"#192,#512,#649"
PP;2;×2;"#143,#625"
DV;2;×5;"#306,#903,#913,#1040,#1088"
DL;2;×2;"#163,#275"
DP;2;×2;"#7,#32"
EB;2;×2;"#713,#1183"
EG;2;×2;"#587,#925"
EC;2;×4;"#82,#844,#954,#1102"
SE;2;×2;"#5,#874"
LF;2;×2;"#893,#938"
LI;2;×2;"#84,#1106"
AA;2;×2;"#545,#959"
AH;2;×2;"#29,#960"
AM;2;×2;"#19,#304"
CV;2;×2;"#373,#1135"
CL;2;×2;"#83,#241"
