ETHNARGDE;9;×2;"#579,#707"
RANPHCHI;8;×2;"#532,#957"
AXLEXAR;7;×2;"#174,#1036"
AXLETHG;7;×2;"#132,#453"
CHARNO;6;×2;"#744,#1016"
PHICHA;6;×2;"#741,#1156"
DETHCO;6;×2;"#112,#234"
ANCHZI;6;×2;"#396,#982"
XARNOP;6;×2;"#207,#1025"
ONCHAR;6;×2;"#588,#945"
OXARNO;6;×2;"#472,#1024"
NCHARN;6;×2;"#191,#589"
NVANCH;6;×2;"#933,#980"
GEONAV;6;×2;"#168,#427"
RNAMPH;6;×2;"#593,#654"
RANPHA;6;×3;"#61,#88,#409"
MNOGA;5;×2;"#481,#760"
BVIRN;5;×2;"#801,#1043"
BLOTH;5;×2;"#723,#1068"
CHCHI;5;×2;"#493,#681"
CHILO;5;×2;"#812,#962"
CHIRO;5;×2;"#245,#683"
CHOLA;5;×2;"#45,#435"
ICHAR;5;×2;"#743,#853"
ICHLA;5;×2;"#202,#373"
PHIGO;5;×2;"#662,#1112"
DORNA;5;×2;"#440,#652"
DAPHI;5;×2;"#40,#250"
DEXTA;5;×2;"#153,#340"
LANGA;5;×2;"#633,#827"
AMPHA;5;×2;"#595,#1006"
ARBVI;5;×2;"#875,#1041"
ARGLE;5;×2;"#544,#755"
AXALA;5;×2;"#226,#525"
ANCHD;5;×2;"#788,#848"
ANCHO;5;×2;"#553,#935"
ANGAV;5;×2;"#634,#1076"
OTHAR;5;×2;"#514,#725"
ONDAX;5;×2;"#557,#1168"
ONCHC;5;×2;"#491,#860"
ONGAL;5;×2;"#117,#1176"
NAPPO;5;×2;"#332,#510"
NVOXA;5;×2;"#8,#319"
EOPHA;5;×2;"#751,#885"
EONCH;5;×2;"#587,#859"
EXOLA;5;×2;"#615,#630"
HCHIR;5;×2;"#647,#682"
HAXLE;5;×2;"#65,#131"
RGEON;5;×2;"#167,#857"
RNODE;5;×2;"#747,#1207"
RANCH;5;×3;"#189,#395,#787"
THGE;4;×2;"#463,#732"
BDAX;4;×2;"#388,#1101"
BRAX;4;×3;"#267,#468,#605"
CHAS;4;×2;"#1058,#1159"
CHAL;4;×2;"#313,#719"
CHIP;4;×2;"#495,#1192"
CHID;4;×2;"#84,#537"
ILCH;4;×2;"#401,#433"
IDRA;4;×2;"#86,#1003"
ICHO;4;×2;"#44,#783"
